name;outclusters;mnmn;profileId;prod;model;ocfDeviceType;deviceId;cc;inClusters;outClusters;ccOut;endpointId;type;profileID;deviceJoinName;endpointID;vid;mfr;manufacturer;endpoint;ui;path
TH1123ZB-TH1124ZB Sinope Thermostat;;;;;TH1123ZB;;;;;;;;;;Sinope TH1123ZB Thermostat;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/th1123zb-th1124zb-sinope-thermostat.src/th1123zb-th1124zb-sinope-thermostat.groovy
TH1123ZB-TH1124ZB Sinope Thermostat;;;;;TH1124ZB;;;;;;;;;;Sinope TH1124ZB Thermostat;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/th1123zb-th1124zb-sinope-thermostat.src/th1123zb-th1124zb-sinope-thermostat.groovy
WL4200S-WL4200 Sinope Water Leak Sensor;;;;;WL4200;;;;;;;;;;WL4200;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/wl4200s-wl4200-sinope-water-leak-sensor.src/wl4200s-wl4200-sinope-water-leak-sensor.groovy
WL4200S-WL4200 Sinope Water Leak Sensor;;;;;WL4200S;;;;;;;;;;WL4200S;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/wl4200s-wl4200-sinope-water-leak-sensor.src/wl4200s-wl4200-sinope-water-leak-sensor.groovy
DM2500ZB Sinope Dimmer;;;;;DM2500ZB;;;;;;;;;;DM2500ZB;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/dm2500zb-sinope-dimmer.src/dm2500zb-sinope-dimmer.groovy
TH1300ZB Sinope Thermostat;;;;;TH1300ZB;;;;;;;;;;Sinope TH1300ZB Thermostat;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/th1300zb-sinope-thermostat.src/th1300zb-sinope-thermostat.groovy
VA4200WZ-VA4200ZB Sinope Valve;;;;;VA4200WZ;;;;;;;;;;VA4200WZ;;;;;;;SmartThingsPublic/devicetypes/sinope-technologies/va4200wz-va4200zb-sinope-valve.src/va4200wz-va4200zb-sinope-valve.groovy
VA4200WZ-VA4200ZB Sinope Valve;;;;;VA4200ZB;;;;;;;;;;VA4200ZB;;;;;;;SmartThingsPublic/devicetypes/sinope-technologies/va4200wz-va4200zb-sinope-valve.src/va4200wz-va4200zb-sinope-valve.groovy
SW2500ZB Sinope Switch;;;;;SW2500ZB;;;;;;;;;;SW2500ZB;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/sw2500zb-sinope-switch.src/sw2500zb-sinope-switch.groovy
TH1400ZB Sinope Thermostat;;;;;TH1400ZB;;;;;;;;;;Sinope TH1400ZB Thermostat;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/th1400zb-sinope-thermostat.src/th1400zb-sinope-thermostat.groovy
TH1500ZB Sinope Thermostat;;;;;TH1500ZB;;;;;;;;;;Sinope TH1500ZB Thermostat;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/th1500zb-sinope-thermostat.src/th1500zb-sinope-thermostat.groovy
RM3250ZB Sinope Load Controller;;;;;RM3250ZB;;;;;;;;;;RM3250ZB;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/rm3250zb-sinope-load-controller.src/rm3250zb-sinope-load-controller.groovy
Spruce Sensor;;;0104;;PS-SPRZMS-01;;;;0000,0001,0003,0402,0405;0003, 0019;;;;;Spruce Sensor;;;;PLAID SYSTEMS;;;SmartThingsPublic/devicetypes/plaidsystems/spruce-sensor.src/spruce-sensor.groovy
Spruce Sensor;;;0104;;PS-SPRZMS-SLP1;;;;0000,0001,0003,0402,0405;0003, 0019;;;;;Spruce Sensor;;;;PLAID SYSTEMS;;;SmartThingsPublic/devicetypes/plaidsystems/spruce-sensor.src/spruce-sensor.groovy
Spruce Sensor;;;0104;;PS-SPRZMS-SLP3;;;;0000,0001,0003,0402,0405;0003, 0019;;;;;Spruce Sensor;;;;PLAID SYSTEMS;;;SmartThingsPublic/devicetypes/plaidsystems/spruce-sensor.src/spruce-sensor.groovy
Z-Wave Garage Door Opener;;;;4744;3030;;;;;;;;;;Linear GoControl Garage Door Opener;;;014F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-garage-door-opener.src/zwave-garage-door-opener.groovy
Z-Wave Garage Door Opener;;;;4744;3530;;;;;;;;;;GoControl Smart Garage Door Controller;;;014F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-garage-door-opener.src/zwave-garage-door-opener.groovy
Orvibo Gas Detector;;;0104;;d0e857bfd54f4a12816295db3945a421;;0402;;0000, 0003, 0500, 0009;0019;;;;;æ¬§çå å¯çæ°ä½æ¥è­¦å¨(SG21);;;;Heiman;;;SmartThingsPublic/devicetypes/smartthings/orvibo-gas-detector.src/Orvibo-Gas-detector.groovy
Orvibo Gas Detector;;;0104;;358e4e3e03c644709905034dae81433e;;0402;;0000, 0003, 0500, 0009;0019;;;;;æ¬§çå å¯çæ°ä½æ¥è­¦å¨(SG21);;;;HEIMAN;;;SmartThingsPublic/devicetypes/smartthings/orvibo-gas-detector.src/Orvibo-Gas-detector.groovy
Eaton Accessory Dimmer;;;;4441;0000;;;;;;;;;;Eaton RF Accessory Dimmer;;;001A;;;;SmartThingsPublic/devicetypes/smartthings/eaton-accessory-dimmer.src/eaton-accessory-dimmer.groovy
ZigBee Valve;;;0104;;leakSMART Water Valve v2.10;;;;0000, 0001, 0003, 0006, 0020, 0B02, FC02;0019;;;;;leakSMART Valve;;;;WAXMAN;;;SmartThingsPublic/devicetypes/smartthings/zigbee-valve.src/zigbee-valve.groovy
ZigBee Valve;;;0104;;House Water Valve - MDL-TBD;;;;0000, 0001, 0003, 0004, 0005, 0006, 0008, 000F, 0020, 0B02;0003, 0019;;;;;Waxman House Water Valve;;;;WAXMAN;;;SmartThingsPublic/devicetypes/smartthings/zigbee-valve.src/zigbee-valve.groovy
ZigBee Valve;;;0104;;E253-KR0B0ZX-HA;;;;0000, 0003, 0004, 0006, 0500;0019;;;;;Smart Gas Valve Actuator;;;;;;;SmartThingsPublic/devicetypes/smartthings/zigbee-valve.src/zigbee-valve.groovy
Z-Wave Battery Thermostat;;;;5442;5431;;;;;;;;;;Linear Z-Wave Thermostat;;;014F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-battery-thermostat.src/zwave-battery-thermostat.groovy
Z-Wave Battery Thermostat;;;;5442;5436;;;;;;;;;;GoControl Z-Wave Thermostat;;;014F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-battery-thermostat.src/zwave-battery-thermostat.groovy
Z-Wave Metering Switch;;;;0003;0012;;;;;;;;;;Aeotec Micro Smart Switch;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0003;0087;oic.d.smartplug;;;;;;;;;Dome On/Off Plug-in Switch;;;021F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0103;0060;oic.d.smartplug;;;;;;;;;Aeotec Smart Switch 6;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0003;0060;oic.d.smartplug;;;;;;;;;Aeotec Smart Switch 6;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0203;0060;oic.d.smartplug;;;;;;;;;Aeotec Smart Switch 6;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0103;0074;;;;;;;;;;Aeotec Nano Switch;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0003;0074;;;;;;;;;;Aeotec Nano Switch;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0203;0074;;;;;;;;;;Aeotec Nano Switch;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;574F;3535;oic.d.smartplug;;;;;;;;;GoControl Wall-Mounted Outlet;;;014F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;5053;3531;oic.d.smartplug;;;;;;;;;GoControl Plug-in Switch;;;014F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;4F44;3031;;;;;;;;;;GE Direct-Wire Outdoor Switch;;;0063;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0003;0087;oic.d.smartplug;;;;;;;;;NEO Coolcam Power plug;;;0258;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0602;1001;oic.d.smartplug;;;;;;;;;Fibaro Wall Plug ZW5;;;010F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;1801;1000;oic.d.smartplug;;;;;;;;;Fibaro Wall Plug ZW5;;;010F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
Z-Wave Metering Switch;;;;0003;004E;;;;;;;;;;Aeotec Heavy Duty Smart Switch;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-metering-switch.src/zwave-metering-switch.groovy
